藥品編號;藥品名稱;藥品商品名稱;單價一;單位一;單價二;單位二;台北停用註記;基隆停用註記;林口停用註記;高雄停用註記;抗生素管制註記;料位號;空針代號;途徑;途徑二;途徑三;途徑四;途徑五;途徑六;特殊服用方法;使用註記;頻率;飯前飯後;重複使用;轉換劑量一;轉換單位一;轉換劑量二;轉換單位二;轉換劑量三;轉換單位三;每次使用單位;每次用量;總量;最高用量;操作員代號;建檔日期;最後異動日;藥品俗名;替代藥品編號一;替代藥品編號二;適應症;聖保祿停用註記;鳳山停用註記;管制等級;嘉義停用註記;罕見疾病藥品註記;調劑藥品註記;專案藥品註記;危險藥品註記;抗生素註記;限制使用註記;護理之家停用註記;桃園分院停用註記;愛滋用藥註記;本品引進說明;藥品商品名稱及包裝;護理之家連處停用;桃園連處停用;情人湖連處停用;藥品商品名稱二;懷孕藥_D類註記;懷孕藥_X類註記;新藥/臨時註記;健保碼;健保點數;不寄庫原因;制酸劑註記;類固醇註記;戒菸用藥註記;建議使用天數;情人湖停用註記;化療藥品註記;atc_1;atc_2;不同規格註記;極量週期;健保每日極量;健保天數;群組碼;同一藥品不同廠牌之代表號;同一藥品不同廠牌非優先;多種劑型;多種廠牌;異代;標籤藥品名;標籤規格;條碼;限制使用註記;台北連處停用;基隆連處停用;林口連處停用;高雄連處停用;sph連處停用;長庚診所停用;長庚診所連處停用;給藥途徑管制;抗腫瘤;土城停用;土城連處停用;極量註記單位;大里停用;台中停用;大里連處停用;台中連處停用 ;品一內條碼;品一外條碼;品一收費編碼;品二內條碼;品二外條碼;品二收費編碼;品一健保碼;品一健保點數;品一合約廠牌;品二健保碼;品二健保點數;品二合約廠牌
P2A001M;loose Ursodeoxycholic acid 100mg/tab(L);;;;;;Y;;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;PC;;0;;NET;930703;1110128;;;;;Y;Y;;Y;;;;;;;Y;Y;;;;;;;;;;;;;A09停用;;;;7;Y;;;;;;;;;;;;;L;;;;;;;;;;Y;;;;;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A009M;Loose cinnarizine 25mg/tab(pc);Loose stugeron 25mg/tab(pc);;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GJ0;;1070308;;;;;Y;Y;;Y;;;;;;;Y;Y;;;;;;;;;;;;;A09停用;;;;7;Y;;;N07CA02;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A011M;Loose cimetidine 200mg/tab(pc);Loose tagamet 200mg/tab(pc);;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GE6;;1020313;;;;;Y;Y;;Y;;;;;;;Y;Y;;;優良 台製;;;;;;;;;;A09停用;;;;7;Y;;;;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A012M;Loose cyproheptadine hcl 4mg/tab(pc);Loose periactin 4mg/tab(pc);;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GE6;;1020313;;;;;Y;Y;;Y;;;;;;;Y;Y;;;;;;;;;;;;;A09停用;;;;7;Y;;;;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A014M;Loose erythromycin stearate 250mg/tab(pc;;;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GE6;;1020313;;;;;Y;Y;;Y;;;;;;;Y;Y;;;ABBOTT 美製;;;;;;;;;;A09停用;;;;7;Y;;;;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A015M;Loose rifampicin 150mg/cap(pc);;;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GE6;;1020313;;;;;Y;Y;;Y;;;;;;;Y;Y;;;永信 台製;;;;;;;;;;A09停用;;;;7;Y;;;;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A016M;Loose rifampicin 300mg/cap(pc);;;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GE6;;1020313;;;;;Y;Y;;Y;;;;;;;Y;Y;;;瑞士 台製;;;;;;;;;;A09停用;;;;7;Y;;;;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A017M;Loose nalidixic acid 500mg/tab(pc);Loose negacide 500mg/tab(pc);;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GE6;;1020313;;;;;Y;Y;;Y;;;;;;;Y;Y;;;;;;;;;;;;;A09停用;;;;7;Y;;;;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A018M;Loose captopril 25mg/tab(pc);Loose capoten 25mg/tab(pc);;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GJ0;;1070308;;;;;Y;Y;;Y;;;;;;;Y;Y;;;BMS 台製;;;;;Y;;;;;A09停用;;;;7;Y;;C09AA;C09AA01;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
P2A019M;Loose gemfibrozil 300mg/cap(pc);Loose lopid 300mg/cap(pc);;;;;Y;Y;Y;Y;;;;PO;;;;;;;;;PC;;0;;0;;;;;;0;;GE6;;1020313;;;;;Y;Y;;Y;;;;;;;Y;Y;;;派德 台製;;;;;;;;;;A09停用;;;;7;Y;;;;;;;;;;;;;L;;;;;;;;;;Y;;;;Y;;PC;Y;Y;Y;Y;;;;;;;;;;;;
