藥品編號,收費編號,藥品英文名,藥品中文名,顏色,形狀,劑型,廠牌名,中文加強描述,英文加強描述,備註
PIG014P,PIG014P     1PC,D2.5 1/2 s  500ml /bag (IVF),葡萄糖2.5%食鹽水0.45%,,,,永豐,,,
PIG018P,PIG018P     1PC,N/s 1000ml,生理食鹽水,,,,永豐,,,
PIG020P,PIG020P     1PC,Normal saline(plastic),生理食鹽水注射液,,,注射劑,信東,,,
PIG021P,PIG021P     1PC,Half-saline 0.45%,20ml/amp,氯化鈉,,,,信東,,,
PIG040P,PIG040P     1PC,KCl (IVF) 15%,20meq/10ml/amp,氯化鉀,,,,信東,,,
PIG047P,PIG047P     1PC,Ringer's soln lactated (IVF) 1000ml,乳酸林格氏液,,,,永豐,,,
PIG048P,PIG048P     1PC,Ringer's soln lactated 500ml (ivf),乳酸林格氏液,,,,永豐,,,
PIG049S,PIG049S     1PC,Joulies soln 29mg/ml,200ml/pc,,白色/透明,,口服液劑,,,Plastic bottle with brown liquid,100.10.20
PIG052P,PIG052P     1PC,Dist. water injection,注射用水,,,,信東,,,
PII004P,,Hemo. fluid(acid ca 3.5 dextrose)10L/bot,,,,,NA,,,
PII005P,,Hemo. fluid(acid ca 3.5) 10L/bot,,,,,NA,,,
PII007P,,Hemo. fluid(ca 3.0 dextrose) 10L/bot,,,,,NA,,,
PII024E,,Belzer uw cold storage soln 1000ml/bag,,,,,,,,
PJA022P,PJA022P     1PC,Actilyse,栓體舒,,,,百靈佳,,,
PKA002S,,Aluminum magnesia susp.(安胃乳),安胃乳,白色,,口服液劑,濟生,白色塑膠瓶,White plastic bottle,100.10.20
PKA046P,,Losec,樂酸克,,,,阿斯特捷利康,,,
PKB028S,,Camphorated opium tr(S-IV),,,,,,,,
PKF030P,,Navoban,耐嘔伴,,,,諾華,,,
PLA010P,,Haes-steril,賀氏血得利,,,,Fresenius Kabi,,,
PLA012P,PLA012P     1PC,10% Rheomacrodex,療血得注射液,,,注射劑,大塚,,,2020.06.17
PLA014P,,Haes-steril,賀氏血得利,,,,Fresenius Kabi,,,
PLA016P,,Gamimune N,,,,,拜耳,,,95.5
PLA020P,,Beriglobin p,,,,,,,,
PLA027P,,Lymphoglobulin (equine),「桑斯達」馬抗人類胸腺細胞免疫球蛋白,,,,Imtix Sangstat,,,
PLA028P,,Atgam (equine),艾特甘滅菌液,,,,法瑪西亞,,,
PLA036P,PLA036P     1PC,BayHep B (im),B型肝炎免疫人血球蛋白注射液,,,注射液,拜耳,,,2019.02.19
PLB032P,PLB032P     1PC,Filgrastim 75mcg/0.3ml,惠爾血添注射劑75,,,注射液,麒麟,,,990325
PLB034P,PLB034P     1PC,Filgrastim M300,惠爾血添M300,,,注射液,麒麟,,,990325
PLC020P,,Nadroparin cal.,速避凝,,,,賽諾菲聖德拉堡,,,
PLC024P,,Fraxiparin,速避凝,,,,賽諾菲聖德拉堡,,,
PLD002P,,Novoseven,諾和第7因子注射劑,,,,諾和諾德,,,
PLD012P,PLD012P     1PC,Beriplex P/N 500,第九凝血因子複合注射劑,,,凍晶乾燥注射劑,安萬特,,,2022.07.19
PLD048P,PLD048P     1PC,Transamin,斷血炎,,,注射劑,台灣第一,,,104.01.30
PMA020P,PMA020P     1PC,Methasone,敏速平注射液,,,注射劑,榮民委託信東,,,2022.01.04
PMB012P,,Durabolin,得力保寧,,,,中國化學,,,
PMC016P,,Soon,經順,,,,永信,,,
PMD010P,,Pergonal,普格納,,,,雪蘭諾,,,
PMD040P,PMD040P     1PC,Gonal-f,果納芬,,,,雪蘭諾,,,
PME032P,PME032P     1PC,Actrapid,愛速基因人體胰島素,,,注射劑,諾和諾德,透明瓶 ，「黃色」瓶蓋，澄清、無色的水溶液,clear bottle, 「yellow」 cap, clear, colorless aqueous solution,2023.06.07
PME036P,,Monotard,滿樂達,,,,諾和諾德,,,
PME040P,,Ultratard,愛長達,,,,,,,
PME060P,,Mixtard,密斯他,,,,,,,
PMF006P,PMF006P     1PC,Stilamin  3mg,施他寧,無色透明,,凍晶注射劑,Merck,透明玻璃安瓿單支包裝,Transparent ampoule single package,2023.06.20
PMF010P,PMF010P     1PC,DDAVP(Minirin ),迷你寧,,,,Ferring,,,
PMF028P,,Miacalcic 100iu,密鈣息注射液,,,注射液,諾華,,,980105
PMG012S,,Strong iodine soln,,深褐色,,口服液劑,NA,塑膠瓶身深褐色藥液,Plastic bottle with dark brown liquid,100.10.20
PMG101M,,I131,,,,,,,,
PDA080P,PDA080P     1PC,Sandostatin,善得定,,,,諾華,,,
PDA150P,PDA150P     1PC,Fludara,服達樂,,,凍晶注射劑,Schering,,,
PDA157P,PDA157P     1PC,Holoxan,好克癌,,,,百特,,,
